Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 15(Clone);
2;Tile Straight(Clone);SmallObstacle 1(Clone);
3;Tile Right(Clone);Obstacle 11(Clone);
4;Tile Left(Clone);SmallObstacle 2(Clone);
5;Tile Left(Clone);Obstacle 16(Clone);
6;Tile Straight(Clone);SmallObstacle Empty(Clone);
7;goal;Obstacle 12(Clone);
8;;SmallObstacle Empty(Clone);
9;;SmallObstacle 1(Clone);
10;;Obstacle 4(Clone);
11;;SmallObstacle 4(Clone);
12;;SmallObstacle 3(Clone);
13;;Obstacle 14(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 7(Clone);
