Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 15(Clone);
2;Tile Left(Clone);SmallObstacle Empty(Clone);
3;Tile Left(Clone);Obstacle 16(Clone);
4;Tile Right(Clone);SmallObstacle Empty(Clone);
5;Tile Straight(Clone);SmallObstacle Empty(Clone);
6;Tile Right(Clone);Obstacle 16(Clone);
7;goal;SmallObstacle 2(Clone);
8;;SmallObstacle Empty(Clone);
9;;Obstacle 12(Clone);
10;;SmallObstacle Empty(Clone);
11;;Obstacle 6(Clone);
12;;SmallObstacle 2(Clone);
13;;Obstacle 7(Clone);
14;;SmallObstacle 4(Clone);
15;;Obstacle 12(Clone);
