Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 10(Clone);
2;Tile Left(Clone);SmallObstacle 3(Clone);
3;Tile Straight(Clone);Obstacle 3(Clone);
4;Tile Straight(Clone);SmallObstacle 4(Clone);
5;Tile Right(Clone);SmallObstacle Empty(Clone);
6;Tile Left(Clone);Obstacle 7(Clone);
7;goal;SmallObstacle Empty(Clone);
8;;Obstacle 11(Clone);
9;;SmallObstacle 1(Clone);
10;;Obstacle 6(Clone);
11;;SmallObstacle Empty(Clone);
12;;Obstacle 9(Clone);
13;;SmallObstacle 3(Clone);
14;;SmallObstacle 1(Clone);
15;;Obstacle 2(Clone);
