Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 2(Clone);
2;Tile Left(Clone);SmallObstacle Empty(Clone);
3;Tile Straight(Clone);Obstacle 9(Clone);
4;Tile Right(Clone);SmallObstacle 3(Clone);
5;Tile Straight(Clone);SmallObstacle Empty(Clone);
6;Tile Left(Clone);Obstacle 13(Clone);
7;goal;SmallObstacle 2(Clone);
8;;Obstacle 10(Clone);
9;;SmallObstacle Empty(Clone);
10;;Obstacle 12(Clone);
11;;SmallObstacle 1(Clone);
12;;Obstacle 13(Clone);
13;;SmallObstacle 1(Clone);
14;;SmallObstacle 4(Clone);
15;;Obstacle 16(Clone);
