Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 16(Clone);
2;Tile Right(Clone);SmallObstacle 2(Clone);
3;Tile Straight(Clone);Obstacle 11(Clone);
4;Tile Left(Clone);SmallObstacle Empty(Clone);
5;Tile Left(Clone);Obstacle 5(Clone);
6;Tile Straight(Clone);SmallObstacle 4(Clone);
7;goal;Obstacle 16(Clone);
8;;SmallObstacle Empty(Clone);
9;;SmallObstacle 4(Clone);
10;;Obstacle 6(Clone);
11;;SmallObstacle 1(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 16(Clone);
14;;SmallObstacle 2(Clone);
15;;Obstacle 16(Clone);
