Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 10(Clone);
2;Tile Right(Clone);SmallObstacle 4(Clone);
3;Tile Straight(Clone);Obstacle 5(Clone);
4;Tile Left(Clone);SmallObstacle Empty(Clone);
5;Tile Left(Clone);Obstacle 10(Clone);
6;Tile Straight(Clone);SmallObstacle Empty(Clone);
7;goal;Obstacle 14(Clone);
8;;SmallObstacle 4(Clone);
9;;SmallObstacle Empty(Clone);
10;;Obstacle 2(Clone);
11;;SmallObstacle 2(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 7(Clone);
14;;SmallObstacle 1(Clone);
15;;Obstacle 2(Clone);
