Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 15(Clone);
2;Tile Straight(Clone);SmallObstacle 4(Clone);
3;Tile Left(Clone);Obstacle 4(Clone);
4;Tile Right(Clone);SmallObstacle 3(Clone);
5;Tile Left(Clone);Obstacle 2(Clone);
6;Tile Straight(Clone);SmallObstacle 1(Clone);
7;goal;SmallObstacle Empty(Clone);
8;;Obstacle 3(Clone);
9;;SmallObstacle 1(Clone);
10;;Obstacle 9(Clone);
11;;SmallObstacle Empty(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 12(Clone);
14;;SmallObstacle 1(Clone);
15;;Obstacle 6(Clone);
