Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 4(Clone);
2;Tile Right(Clone);SmallObstacle Empty(Clone);
3;Tile Left(Clone);Obstacle 9(Clone);
4;Tile Right(Clone);SmallObstacle 3(Clone);
5;Tile Left(Clone);Obstacle 13(Clone);
6;Tile Straight(Clone);SmallObstacle 4(Clone);
7;goal;SmallObstacle Empty(Clone);
8;;Obstacle 5(Clone);
9;;SmallObstacle 2(Clone);
10;;Obstacle 12(Clone);
11;;SmallObstacle 2(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 1(Clone);
14;;SmallObstacle 3(Clone);
15;;Obstacle 16(Clone);
