Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 13(Clone);
2;Tile Straight(Clone);SmallObstacle Empty(Clone);
3;Tile Right(Clone);Obstacle 7(Clone);
4;Tile Left(Clone);SmallObstacle Empty(Clone);
5;Tile Left(Clone);Obstacle 16(Clone);
6;Tile Straight(Clone);SmallObstacle Empty(Clone);
7;goal;Obstacle 8(Clone);
8;;SmallObstacle Empty(Clone);
9;;SmallObstacle 3(Clone);
10;;Obstacle 2(Clone);
11;;SmallObstacle 2(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 1(Clone);
14;;SmallObstacle 1(Clone);
15;;Obstacle 16(Clone);
