Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 16(Clone);
2;Tile Right(Clone);SmallObstacle Empty(Clone);
3;Tile Straight(Clone);SmallObstacle 4(Clone);
4;Tile Straight(Clone);Obstacle 8(Clone);
5;Tile Left(Clone);SmallObstacle 3(Clone);
6;Tile Right(Clone);Obstacle 13(Clone);
7;goal;SmallObstacle Empty(Clone);
8;;Obstacle 4(Clone);
9;;SmallObstacle 1(Clone);
10;;Obstacle 11(Clone);
11;;SmallObstacle Empty(Clone);
12;;SmallObstacle 3(Clone);
13;;Obstacle 10(Clone);
14;;SmallObstacle 1(Clone);
15;;Obstacle 9(Clone);
