Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 8(Clone);
2;Tile Left(Clone);SmallObstacle Empty(Clone);
3;Tile Left(Clone);Obstacle 9(Clone);
4;Tile Straight(Clone);SmallObstacle 1(Clone);
5;Tile Right(Clone);SmallObstacle 2(Clone);
6;Tile Straight(Clone);Obstacle 10(Clone);
7;goal;SmallObstacle 3(Clone);
8;;SmallObstacle Empty(Clone);
9;;Obstacle 3(Clone);
10;;SmallObstacle Empty(Clone);
11;;Obstacle 6(Clone);
12;;SmallObstacle 4(Clone);
13;;Obstacle 16(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 14(Clone);
