Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 6(Clone);
2;Tile Straight(Clone);Obstacle 14(Clone);
3;Tile Right(Clone);SmallObstacle 3(Clone);
4;Tile Straight(Clone);Obstacle 8(Clone);
5;Tile Left(Clone);SmallObstacle 1(Clone);
6;Tile Left(Clone);Obstacle 1(Clone);
7;goal;SmallObstacle 2(Clone);
8;;Obstacle 7(Clone);
9;;SmallObstacle 4(Clone);
10;;Obstacle 2(Clone);
11;;SmallObstacle Empty(Clone);
12;;SmallObstacle 3(Clone);
13;;Obstacle 7(Clone);
14;;SmallObstacle Empty(Clone);
15;;SmallObstacle 4(Clone);
