Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 1(Clone);
2;Tile Right(Clone);SmallObstacle 4(Clone);
3;Tile Right(Clone);SmallObstacle 4(Clone);
4;Tile Straight(Clone);Obstacle 2(Clone);
5;Tile Left(Clone);SmallObstacle Empty(Clone);
6;Tile Straight(Clone);Obstacle 16(Clone);
7;goal;SmallObstacle 3(Clone);
8;;Obstacle 11(Clone);
9;;SmallObstacle 4(Clone);
10;;Obstacle 2(Clone);
11;;SmallObstacle 3(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 16(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 16(Clone);
