Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 13(Clone);
2;Tile Right(Clone);SmallObstacle 3(Clone);
3;Tile Right(Clone);Obstacle 16(Clone);
4;Tile Left(Clone);SmallObstacle Empty(Clone);
5;Tile Straight(Clone);Obstacle 10(Clone);
6;Tile Left(Clone);SmallObstacle 3(Clone);
7;goal;Obstacle 3(Clone);
8;;SmallObstacle Empty(Clone);
9;;SmallObstacle Empty(Clone);
10;;Obstacle 12(Clone);
11;;SmallObstacle 4(Clone);
12;;Obstacle 5(Clone);
13;;SmallObstacle Empty(Clone);
14;;SmallObstacle 1(Clone);
15;;Obstacle 9(Clone);
