Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 6(Clone);
2;Tile Straight(Clone);SmallObstacle 4(Clone);
3;Tile Straight(Clone);Obstacle 2(Clone);
4;Tile Right(Clone);SmallObstacle Empty(Clone);
5;Tile Left(Clone);Obstacle 16(Clone);
6;Tile Left(Clone);SmallObstacle 1(Clone);
7;goal;Obstacle 1(Clone);
8;;SmallObstacle Empty(Clone);
9;;Obstacle 15(Clone);
10;;SmallObstacle Empty(Clone);
11;;SmallObstacle 3(Clone);
12;;Obstacle 2(Clone);
13;;SmallObstacle 3(Clone);
14;;SmallObstacle 4(Clone);
15;;Obstacle 10(Clone);
