Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 12(Clone);
2;Tile Right(Clone);SmallObstacle Empty(Clone);
3;Tile Left(Clone);Obstacle 14(Clone);
4;Tile Straight(Clone);SmallObstacle 1(Clone);
5;Tile Right(Clone);Obstacle 16(Clone);
6;Tile Left(Clone);SmallObstacle Empty(Clone);
7;goal;SmallObstacle Empty(Clone);
8;;Obstacle 16(Clone);
9;;SmallObstacle Empty(Clone);
10;;Obstacle 14(Clone);
11;;SmallObstacle Empty(Clone);
12;;Obstacle 16(Clone);
13;;SmallObstacle Empty(Clone);
14;;SmallObstacle 3(Clone);
15;;Obstacle 2(Clone);
