Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 16(Clone);
2;Tile Left(Clone);SmallObstacle 3(Clone);
3;Tile Left(Clone);Obstacle 16(Clone);
4;Tile Straight(Clone);SmallObstacle 1(Clone);
5;Tile Right(Clone);SmallObstacle 2(Clone);
6;Tile Right(Clone);Obstacle 7(Clone);
7;goal;SmallObstacle Empty(Clone);
8;;SmallObstacle 3(Clone);
9;;Obstacle 10(Clone);
10;;SmallObstacle 3(Clone);
11;;Obstacle 16(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 8(Clone);
14;;SmallObstacle 2(Clone);
15;;Obstacle 11(Clone);
