Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 7(Clone);
2;Tile Right(Clone);SmallObstacle 3(Clone);
3;Tile Straight(Clone);Obstacle 1(Clone);
4;Tile Left(Clone);SmallObstacle Empty(Clone);
5;Tile Right(Clone);Obstacle 2(Clone);
6;Tile Left(Clone);SmallObstacle 2(Clone);
7;goal;Obstacle 10(Clone);
8;;SmallObstacle 3(Clone);
9;;SmallObstacle 3(Clone);
10;;Obstacle 2(Clone);
11;;SmallObstacle Empty(Clone);
12;;Obstacle 2(Clone);
13;;SmallObstacle 4(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 16(Clone);
