Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 16(Clone);
2;Tile Left(Clone);SmallObstacle 3(Clone);
3;Tile Right(Clone);Obstacle 8(Clone);
4;Tile Straight(Clone);SmallObstacle Empty(Clone);
5;Tile Right(Clone);SmallObstacle Empty(Clone);
6;Tile Left(Clone);Obstacle 3(Clone);
7;goal;SmallObstacle Empty(Clone);
8;;Obstacle 10(Clone);
9;;SmallObstacle 2(Clone);
10;;Obstacle 7(Clone);
11;;SmallObstacle Empty(Clone);
12;;Obstacle 16(Clone);
13;;SmallObstacle Empty(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 6(Clone);
