Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 15(Clone);
2;Tile Left(Clone);SmallObstacle 4(Clone);
3;Tile Straight(Clone);Obstacle 16(Clone);
4;Tile Straight(Clone);SmallObstacle Empty(Clone);
5;Tile Left(Clone);SmallObstacle Empty(Clone);
6;Tile Right(Clone);Obstacle 13(Clone);
7;goal;SmallObstacle 2(Clone);
8;;Obstacle 9(Clone);
9;;SmallObstacle Empty(Clone);
10;;Obstacle 12(Clone);
11;;SmallObstacle Empty(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 14(Clone);
14;;SmallObstacle 4(Clone);
15;;Obstacle 7(Clone);
