Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 14(Clone);
2;Tile Right(Clone);SmallObstacle Empty(Clone);
3;Tile Straight(Clone);Obstacle 7(Clone);
4;Tile Left(Clone);SmallObstacle Empty(Clone);
5;Tile Right(Clone);Obstacle 16(Clone);
6;Tile Left(Clone);SmallObstacle Empty(Clone);
7;goal;Obstacle 15(Clone);
8;;SmallObstacle Empty(Clone);
9;;SmallObstacle 2(Clone);
10;;Obstacle 1(Clone);
11;;SmallObstacle 3(Clone);
12;;Obstacle 2(Clone);
13;;SmallObstacle 1(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 11(Clone);
