Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 14(Clone);
2;Tile Right(Clone);SmallObstacle 2(Clone);
3;Tile Right(Clone);SmallObstacle 2(Clone);
4;Tile Left(Clone);Obstacle 15(Clone);
5;Tile Straight(Clone);SmallObstacle Empty(Clone);
6;Tile Straight(Clone);Obstacle 16(Clone);
7;goal;SmallObstacle 1(Clone);
8;;Obstacle 16(Clone);
9;;SmallObstacle Empty(Clone);
10;;SmallObstacle 1(Clone);
11;;Obstacle 2(Clone);
12;;SmallObstacle 4(Clone);
13;;Obstacle 4(Clone);
14;;SmallObstacle 2(Clone);
15;;Obstacle 2(Clone);
