Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 14(Clone);
2;Tile Straight(Clone);SmallObstacle 3(Clone);
3;Tile Right(Clone);Obstacle 10(Clone);
4;Tile Straight(Clone);SmallObstacle 4(Clone);
5;Tile Left(Clone);Obstacle 16(Clone);
6;Tile Left(Clone);SmallObstacle Empty(Clone);
7;goal;Obstacle 8(Clone);
8;;SmallObstacle 4(Clone);
9;;Obstacle 10(Clone);
10;;SmallObstacle Empty(Clone);
11;;SmallObstacle 1(Clone);
12;;Obstacle 14(Clone);
13;;SmallObstacle 4(Clone);
14;;SmallObstacle 4(Clone);
15;;Obstacle 14(Clone);
