Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 5(Clone);
2;Tile Left(Clone);Obstacle 4(Clone);
3;Tile Right(Clone);SmallObstacle Empty(Clone);
4;Tile Straight(Clone);Obstacle 3(Clone);
5;Tile Right(Clone);SmallObstacle 4(Clone);
6;Tile Left(Clone);SmallObstacle Empty(Clone);
7;goal;Obstacle 12(Clone);
8;;SmallObstacle Empty(Clone);
9;;Obstacle 8(Clone);
10;;SmallObstacle Empty(Clone);
11;;Obstacle 16(Clone);
12;;SmallObstacle 3(Clone);
13;;Obstacle 15(Clone);
14;;SmallObstacle Empty(Clone);
15;;SmallObstacle Empty(Clone);
