Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 16(Clone);
2;Tile Right(Clone);SmallObstacle 4(Clone);
3;Tile Straight(Clone);Obstacle 8(Clone);
4;Tile Left(Clone);SmallObstacle Empty(Clone);
5;Tile Straight(Clone);Obstacle 14(Clone);
6;Tile Left(Clone);SmallObstacle 2(Clone);
7;goal;Obstacle 8(Clone);
8;;SmallObstacle Empty(Clone);
9;;SmallObstacle Empty(Clone);
10;;Obstacle 16(Clone);
11;;SmallObstacle Empty(Clone);
12;;Obstacle 16(Clone);
13;;SmallObstacle 1(Clone);
14;;SmallObstacle 4(Clone);
15;;Obstacle 12(Clone);
