Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 2(Clone);
2;Tile Left(Clone);SmallObstacle Empty(Clone);
3;Tile Right(Clone);Obstacle 16(Clone);
4;Tile Straight(Clone);SmallObstacle Empty(Clone);
5;Tile Straight(Clone);SmallObstacle 1(Clone);
6;Tile Left(Clone);Obstacle 2(Clone);
7;goal;SmallObstacle 4(Clone);
8;;Obstacle 16(Clone);
9;;SmallObstacle 2(Clone);
10;;Obstacle 16(Clone);
11;;SmallObstacle 1(Clone);
12;;Obstacle 5(Clone);
13;;SmallObstacle Empty(Clone);
14;;SmallObstacle 2(Clone);
15;;Obstacle 16(Clone);
