Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 1(Clone);
2;Tile Left(Clone);SmallObstacle Empty(Clone);
3;Tile Left(Clone);Obstacle 16(Clone);
4;Tile Right(Clone);SmallObstacle Empty(Clone);
5;Tile Straight(Clone);SmallObstacle 1(Clone);
6;Tile Straight(Clone);Obstacle 15(Clone);
7;goal;SmallObstacle Empty(Clone);
8;;SmallObstacle 4(Clone);
9;;Obstacle 10(Clone);
10;;SmallObstacle 1(Clone);
11;;Obstacle 3(Clone);
12;;SmallObstacle 4(Clone);
13;;Obstacle 16(Clone);
14;;SmallObstacle 2(Clone);
15;;Obstacle 13(Clone);
