Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 12(Clone);
2;Tile Right(Clone);SmallObstacle 4(Clone);
3;Tile Right(Clone);SmallObstacle Empty(Clone);
4;Tile Left(Clone);Obstacle 2(Clone);
5;Tile Straight(Clone);SmallObstacle Empty(Clone);
6;Tile Straight(Clone);Obstacle 11(Clone);
7;goal;SmallObstacle 3(Clone);
8;;Obstacle 8(Clone);
9;;SmallObstacle 3(Clone);
10;;SmallObstacle 1(Clone);
11;;Obstacle 9(Clone);
12;;SmallObstacle 2(Clone);
13;;Obstacle 10(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 14(Clone);
