Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 1(Clone);
2;Tile Right(Clone);SmallObstacle Empty(Clone);
3;Tile Straight(Clone);SmallObstacle Empty(Clone);
4;Tile Straight(Clone);Obstacle 16(Clone);
5;Tile Right(Clone);SmallObstacle 1(Clone);
6;Tile Left(Clone);Obstacle 9(Clone);
7;goal;SmallObstacle 1(Clone);
8;;Obstacle 13(Clone);
9;;SmallObstacle 2(Clone);
10;;Obstacle 10(Clone);
11;;SmallObstacle 1(Clone);
12;;Obstacle 5(Clone);
13;;SmallObstacle 3(Clone);
14;;SmallObstacle 4(Clone);
15;;Obstacle 7(Clone);
