Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 15(Clone);
2;Tile Straight(Clone);SmallObstacle 3(Clone);
3;Tile Left(Clone);Obstacle 11(Clone);
4;Tile Right(Clone);SmallObstacle 4(Clone);
5;Tile Left(Clone);Obstacle 1(Clone);
6;Tile Right(Clone);SmallObstacle Empty(Clone);
7;goal;SmallObstacle Empty(Clone);
8;;Obstacle 6(Clone);
9;;SmallObstacle Empty(Clone);
10;;Obstacle 15(Clone);
11;;SmallObstacle Empty(Clone);
12;;SmallObstacle 1(Clone);
13;;Obstacle 14(Clone);
14;;SmallObstacle 4(Clone);
15;;Obstacle 16(Clone);
