Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 16(Clone);
2;Tile Left(Clone);SmallObstacle 2(Clone);
3;Tile Left(Clone);Obstacle 5(Clone);
4;Tile Straight(Clone);SmallObstacle 3(Clone);
5;Tile Right(Clone);SmallObstacle 3(Clone);
6;Tile Straight(Clone);Obstacle 16(Clone);
7;goal;SmallObstacle 2(Clone);
8;;SmallObstacle Empty(Clone);
9;;Obstacle 9(Clone);
10;;SmallObstacle 2(Clone);
11;;Obstacle 12(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 2(Clone);
14;;SmallObstacle 3(Clone);
15;;Obstacle 5(Clone);
