Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 15(Clone);
2;Tile Straight(Clone);SmallObstacle Empty(Clone);
3;Tile Right(Clone);Obstacle 12(Clone);
4;Tile Straight(Clone);SmallObstacle 3(Clone);
5;Tile Left(Clone);Obstacle 2(Clone);
6;Tile Left(Clone);SmallObstacle 4(Clone);
7;goal;Obstacle 2(Clone);
8;;SmallObstacle Empty(Clone);
9;;Obstacle 14(Clone);
10;;SmallObstacle 3(Clone);
11;;SmallObstacle Empty(Clone);
12;;Obstacle 16(Clone);
13;;SmallObstacle Empty(Clone);
14;;SmallObstacle 1(Clone);
15;;Obstacle 1(Clone);
