Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 5(Clone);
2;Tile Right(Clone);SmallObstacle 3(Clone);
3;Tile Straight(Clone);Obstacle 15(Clone);
4;Tile Right(Clone);SmallObstacle 1(Clone);
5;Tile Left(Clone);Obstacle 16(Clone);
6;Tile Left(Clone);SmallObstacle 3(Clone);
7;goal;Obstacle 4(Clone);
8;;SmallObstacle 4(Clone);
9;;Obstacle 7(Clone);
10;;SmallObstacle Empty(Clone);
11;;SmallObstacle Empty(Clone);
12;;Obstacle 6(Clone);
13;;SmallObstacle 3(Clone);
14;;SmallObstacle 2(Clone);
15;;Obstacle 16(Clone);
