Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 11(Clone);
2;Tile Right(Clone);Obstacle 16(Clone);
3;Tile Right(Clone);SmallObstacle Empty(Clone);
4;Tile Straight(Clone);SmallObstacle 2(Clone);
5;Tile Left(Clone);Obstacle 5(Clone);
6;Tile Straight(Clone);SmallObstacle 2(Clone);
7;goal;Obstacle 16(Clone);
8;;SmallObstacle Empty(Clone);
9;;Obstacle 2(Clone);
10;;SmallObstacle 4(Clone);
11;;Obstacle 2(Clone);
12;;SmallObstacle 3(Clone);
13;;SmallObstacle 3(Clone);
14;;Obstacle 14(Clone);
15;;SmallObstacle Empty(Clone);
