Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 16(Clone);
2;Tile Right(Clone);Obstacle 10(Clone);
3;Tile Straight(Clone);SmallObstacle 2(Clone);
4;Tile Straight(Clone);Obstacle 4(Clone);
5;Tile Left(Clone);SmallObstacle Empty(Clone);
6;Tile Left(Clone);Obstacle 16(Clone);
7;goal;SmallObstacle 3(Clone);
8;;Obstacle 15(Clone);
9;;SmallObstacle Empty(Clone);
10;;Obstacle 15(Clone);
11;;SmallObstacle Empty(Clone);
12;;SmallObstacle 3(Clone);
13;;Obstacle 16(Clone);
14;;SmallObstacle Empty(Clone);
15;;SmallObstacle Empty(Clone);
