Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 7(Clone);
2;Tile Right(Clone);SmallObstacle Empty(Clone);
3;Tile Straight(Clone);SmallObstacle Empty(Clone);
4;Tile Left(Clone);Obstacle 2(Clone);
5;Tile Right(Clone);SmallObstacle 1(Clone);
6;Tile Straight(Clone);Obstacle 9(Clone);
7;goal;SmallObstacle 3(Clone);
8;;Obstacle 1(Clone);
9;;SmallObstacle 4(Clone);
10;;SmallObstacle 3(Clone);
11;;Obstacle 14(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 3(Clone);
14;;SmallObstacle 1(Clone);
15;;Obstacle 1(Clone);
