Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 12(Clone);
2;Tile Left(Clone);SmallObstacle 1(Clone);
3;Tile Right(Clone);Obstacle 3(Clone);
4;Tile Left(Clone);SmallObstacle 3(Clone);
5;Tile Straight(Clone);SmallObstacle 4(Clone);
6;Tile Right(Clone);Obstacle 12(Clone);
7;goal;SmallObstacle Empty(Clone);
8;;Obstacle 1(Clone);
9;;SmallObstacle 2(Clone);
10;;SmallObstacle 1(Clone);
11;;Obstacle 5(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 12(Clone);
14;;SmallObstacle 4(Clone);
15;;Obstacle 5(Clone);
