Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 8(Clone);
2;Tile Left(Clone);SmallObstacle Empty(Clone);
3;Tile Straight(Clone);SmallObstacle Empty(Clone);
4;Tile Right(Clone);Obstacle 5(Clone);
5;Tile Right(Clone);SmallObstacle Empty(Clone);
6;Tile Straight(Clone);SmallObstacle 2(Clone);
7;goal;Obstacle 15(Clone);
8;;SmallObstacle Empty(Clone);
9;;Obstacle 16(Clone);
10;;SmallObstacle Empty(Clone);
11;;Obstacle 10(Clone);
12;;SmallObstacle 1(Clone);
13;;Obstacle 6(Clone);
14;;SmallObstacle 4(Clone);
15;;Obstacle 13(Clone);
