Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 16(Clone);
2;Tile Straight(Clone);SmallObstacle 2(Clone);
3;Tile Left(Clone);Obstacle 9(Clone);
4;Tile Right(Clone);SmallObstacle Empty(Clone);
5;Tile Left(Clone);Obstacle 5(Clone);
6;Tile Straight(Clone);SmallObstacle Empty(Clone);
7;goal;SmallObstacle 4(Clone);
8;;Obstacle 3(Clone);
9;;SmallObstacle 2(Clone);
10;;Obstacle 16(Clone);
11;;SmallObstacle 2(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 12(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 10(Clone);
