Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 14(Clone);
2;Tile Left(Clone);SmallObstacle Empty(Clone);
3;Tile Straight(Clone);Obstacle 2(Clone);
4;Tile Right(Clone);SmallObstacle 2(Clone);
5;Tile Left(Clone);SmallObstacle Empty(Clone);
6;Tile Straight(Clone);Obstacle 16(Clone);
7;goal;SmallObstacle 4(Clone);
8;;Obstacle 3(Clone);
9;;SmallObstacle 4(Clone);
10;;Obstacle 4(Clone);
11;;SmallObstacle 2(Clone);
12;;SmallObstacle 2(Clone);
13;;Obstacle 10(Clone);
14;;SmallObstacle 3(Clone);
15;;Obstacle 9(Clone);
