Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 16(Clone);
2;Tile Straight(Clone);Obstacle 16(Clone);
3;Tile Left(Clone);SmallObstacle 3(Clone);
4;Tile Left(Clone);Obstacle 9(Clone);
5;Tile Right(Clone);SmallObstacle Empty(Clone);
6;Tile Right(Clone);Obstacle 16(Clone);
7;goal;SmallObstacle Empty(Clone);
8;;SmallObstacle Empty(Clone);
9;;Obstacle 16(Clone);
10;;SmallObstacle Empty(Clone);
11;;SmallObstacle Empty(Clone);
12;;Obstacle 5(Clone);
13;;SmallObstacle 3(Clone);
14;;Obstacle 6(Clone);
15;;SmallObstacle Empty(Clone);
