Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 1(Clone);
2;Tile Left(Clone);SmallObstacle Empty(Clone);
3;Tile Straight(Clone);SmallObstacle Empty(Clone);
4;Tile Straight(Clone);Obstacle 3(Clone);
5;Tile Right(Clone);SmallObstacle 1(Clone);
6;Tile Right(Clone);SmallObstacle Empty(Clone);
7;goal;Obstacle 4(Clone);
8;;SmallObstacle 3(Clone);
9;;Obstacle 7(Clone);
10;;SmallObstacle 4(Clone);
11;;Obstacle 10(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 10(Clone);
14;;SmallObstacle 3(Clone);
15;;Obstacle 15(Clone);
