Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 1(Clone);
2;Tile Right(Clone);Obstacle 1(Clone);
3;Tile Straight(Clone);SmallObstacle 1(Clone);
4;Tile Straight(Clone);SmallObstacle Empty(Clone);
5;Tile Right(Clone);Obstacle 3(Clone);
6;Tile Left(Clone);SmallObstacle Empty(Clone);
7;goal;Obstacle 9(Clone);
8;;SmallObstacle Empty(Clone);
9;;Obstacle 9(Clone);
10;;SmallObstacle Empty(Clone);
11;;Obstacle 12(Clone);
12;;SmallObstacle 2(Clone);
13;;Obstacle 12(Clone);
14;;SmallObstacle 3(Clone);
15;;SmallObstacle 2(Clone);
