Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 16(Clone);
2;Tile Left(Clone);SmallObstacle 2(Clone);
3;Tile Right(Clone);SmallObstacle Empty(Clone);
4;Tile Straight(Clone);Obstacle 5(Clone);
5;Tile Right(Clone);SmallObstacle 1(Clone);
6;Tile Straight(Clone);SmallObstacle Empty(Clone);
7;goal;Obstacle 16(Clone);
8;;SmallObstacle Empty(Clone);
9;;Obstacle 2(Clone);
10;;SmallObstacle Empty(Clone);
11;;Obstacle 2(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 9(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 5(Clone);
