Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 9(Clone);
2;Tile Right(Clone);SmallObstacle 4(Clone);
3;Tile Straight(Clone);SmallObstacle 1(Clone);
4;Tile Right(Clone);Obstacle 2(Clone);
5;Tile Left(Clone);SmallObstacle 3(Clone);
6;Tile Straight(Clone);Obstacle 13(Clone);
7;goal;SmallObstacle Empty(Clone);
8;;Obstacle 16(Clone);
9;;SmallObstacle 1(Clone);
10;;Obstacle 16(Clone);
11;;SmallObstacle 4(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 6(Clone);
14;;SmallObstacle 3(Clone);
15;;Obstacle 7(Clone);
