Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 13(Clone);
2;Tile Straight(Clone);SmallObstacle 1(Clone);
3;Tile Right(Clone);SmallObstacle Empty(Clone);
4;Tile Right(Clone);Obstacle 7(Clone);
5;Tile Straight(Clone);SmallObstacle 1(Clone);
6;Tile Left(Clone);Obstacle 2(Clone);
7;goal;SmallObstacle 1(Clone);
8;;Obstacle 12(Clone);
9;;SmallObstacle 2(Clone);
10;;Obstacle 16(Clone);
11;;SmallObstacle Empty(Clone);
12;;Obstacle 16(Clone);
13;;SmallObstacle Empty(Clone);
14;;SmallObstacle 4(Clone);
15;;Obstacle 15(Clone);
