Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 2(Clone);
2;Tile Right(Clone);SmallObstacle 1(Clone);
3;Tile Straight(Clone);SmallObstacle Empty(Clone);
4;Tile Straight(Clone);Obstacle 7(Clone);
5;Tile Left(Clone);SmallObstacle 2(Clone);
6;Tile Right(Clone);Obstacle 13(Clone);
7;goal;SmallObstacle Empty(Clone);
8;;Obstacle 16(Clone);
9;;SmallObstacle Empty(Clone);
10;;Obstacle 9(Clone);
11;;SmallObstacle Empty(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 16(Clone);
14;;SmallObstacle 1(Clone);
15;;Obstacle 4(Clone);
