Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 8(Clone);
2;Tile Left(Clone);SmallObstacle Empty(Clone);
3;Tile Straight(Clone);Obstacle 8(Clone);
4;Tile Right(Clone);SmallObstacle Empty(Clone);
5;Tile Left(Clone);SmallObstacle 1(Clone);
6;Tile Right(Clone);Obstacle 16(Clone);
7;goal;SmallObstacle 3(Clone);
8;;Obstacle 2(Clone);
9;;SmallObstacle 1(Clone);
10;;Obstacle 6(Clone);
11;;SmallObstacle 4(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 12(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 14(Clone);
