Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 16(Clone);
2;Tile Left(Clone);SmallObstacle 2(Clone);
3;Tile Right(Clone);Obstacle 7(Clone);
4;Tile Left(Clone);SmallObstacle 4(Clone);
5;Tile Straight(Clone);SmallObstacle 1(Clone);
6;Tile Right(Clone);Obstacle 16(Clone);
7;goal;SmallObstacle 3(Clone);
8;;Obstacle 8(Clone);
9;;SmallObstacle 4(Clone);
10;;SmallObstacle Empty(Clone);
11;;Obstacle 16(Clone);
12;;SmallObstacle 3(Clone);
13;;Obstacle 2(Clone);
14;;SmallObstacle 2(Clone);
15;;Obstacle 7(Clone);
