Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 11(Clone);
2;Tile Straight(Clone);SmallObstacle Empty(Clone);
3;Tile Right(Clone);SmallObstacle Empty(Clone);
4;Tile Straight(Clone);Obstacle 15(Clone);
5;Tile Right(Clone);SmallObstacle Empty(Clone);
6;Tile Left(Clone);Obstacle 2(Clone);
7;goal;SmallObstacle 1(Clone);
8;;Obstacle 1(Clone);
9;;SmallObstacle Empty(Clone);
10;;Obstacle 16(Clone);
11;;SmallObstacle 3(Clone);
12;;Obstacle 12(Clone);
13;;SmallObstacle 1(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 9(Clone);
