Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 11(Clone);
2;Tile Left(Clone);SmallObstacle Empty(Clone);
3;Tile Straight(Clone);SmallObstacle 2(Clone);
4;Tile Right(Clone);Obstacle 11(Clone);
5;Tile Straight(Clone);SmallObstacle 3(Clone);
6;Tile Right(Clone);SmallObstacle Empty(Clone);
7;goal;Obstacle 4(Clone);
8;;SmallObstacle Empty(Clone);
9;;Obstacle 2(Clone);
10;;SmallObstacle 4(Clone);
11;;Obstacle 10(Clone);
12;;SmallObstacle 2(Clone);
13;;Obstacle 3(Clone);
14;;SmallObstacle 1(Clone);
15;;Obstacle 16(Clone);
