Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 11(Clone);
2;Tile Straight(Clone);SmallObstacle 4(Clone);
3;Tile Straight(Clone);SmallObstacle 2(Clone);
4;Tile Left(Clone);Obstacle 16(Clone);
5;Tile Right(Clone);SmallObstacle 4(Clone);
6;Tile Right(Clone);Obstacle 6(Clone);
7;goal;SmallObstacle 2(Clone);
8;;Obstacle 16(Clone);
9;;SmallObstacle Empty(Clone);
10;;SmallObstacle Empty(Clone);
11;;Obstacle 15(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 16(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 16(Clone);
