Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 1(Clone);
2;Tile Right(Clone);Obstacle 3(Clone);
3;Tile Straight(Clone);SmallObstacle Empty(Clone);
4;Tile Left(Clone);SmallObstacle Empty(Clone);
5;Tile Straight(Clone);Obstacle 11(Clone);
6;Tile Right(Clone);SmallObstacle 2(Clone);
7;goal;Obstacle 8(Clone);
8;;SmallObstacle Empty(Clone);
9;;Obstacle 2(Clone);
10;;SmallObstacle 4(Clone);
11;;SmallObstacle Empty(Clone);
12;;Obstacle 1(Clone);
13;;SmallObstacle Empty(Clone);
14;;Obstacle 15(Clone);
15;;SmallObstacle 1(Clone);
