Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 9(Clone);
2;Tile Left(Clone);SmallObstacle Empty(Clone);
3;Tile Left(Clone);Obstacle 4(Clone);
4;Tile Straight(Clone);SmallObstacle Empty(Clone);
5;Tile Right(Clone);SmallObstacle Empty(Clone);
6;Tile Right(Clone);Obstacle 4(Clone);
7;goal;SmallObstacle Empty(Clone);
8;;SmallObstacle Empty(Clone);
9;;Obstacle 16(Clone);
10;;SmallObstacle 1(Clone);
11;;Obstacle 13(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 16(Clone);
14;;SmallObstacle 4(Clone);
15;;Obstacle 12(Clone);
