Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 11(Clone);
2;Tile Left(Clone);SmallObstacle Empty(Clone);
3;Tile Right(Clone);Obstacle 3(Clone);
4;Tile Straight(Clone);SmallObstacle Empty(Clone);
5;Tile Right(Clone);SmallObstacle 2(Clone);
6;Tile Left(Clone);Obstacle 12(Clone);
7;goal;SmallObstacle Empty(Clone);
8;;Obstacle 6(Clone);
9;;SmallObstacle Empty(Clone);
10;;Obstacle 14(Clone);
11;;SmallObstacle 1(Clone);
12;;Obstacle 12(Clone);
13;;SmallObstacle 3(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 1(Clone);
