Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 16(Clone);
2;Tile Straight(Clone);SmallObstacle Empty(Clone);
3;Tile Left(Clone);SmallObstacle 1(Clone);
4;Tile Right(Clone);Obstacle 7(Clone);
5;Tile Right(Clone);SmallObstacle Empty(Clone);
6;Tile Straight(Clone);Obstacle 4(Clone);
7;goal;SmallObstacle Empty(Clone);
8;;SmallObstacle Empty(Clone);
9;;Obstacle 9(Clone);
10;;SmallObstacle Empty(Clone);
11;;Obstacle 1(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 15(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 1(Clone);
