Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 11(Clone);
2;Tile Right(Clone);SmallObstacle 1(Clone);
3;Tile Right(Clone);SmallObstacle 3(Clone);
4;Tile Straight(Clone);Obstacle 2(Clone);
5;Tile Straight(Clone);SmallObstacle Empty(Clone);
6;Tile Left(Clone);Obstacle 15(Clone);
7;goal;SmallObstacle 4(Clone);
8;;Obstacle 13(Clone);
9;;SmallObstacle Empty(Clone);
10;;Obstacle 6(Clone);
11;;SmallObstacle 4(Clone);
12;;Obstacle 13(Clone);
13;;SmallObstacle Empty(Clone);
14;;SmallObstacle 2(Clone);
15;;Obstacle 16(Clone);
