Number;Tile;Obstacle;
0.02;
1;Tile Straight(Clone);Obstacle 11(Clone);
2;Tile Right(Clone);Obstacle 8(Clone);
3;Tile Right(Clone);SmallObstacle 2(Clone);
4;Tile Left(Clone);Obstacle 16(Clone);
5;Tile Straight(Clone);SmallObstacle Empty(Clone);
6;Tile Left(Clone);Obstacle 16(Clone);
7;goal;SmallObstacle Empty(Clone);
8;;Obstacle 2(Clone);
9;;SmallObstacle Empty(Clone);
10;;SmallObstacle 4(Clone);
11;;Obstacle 16(Clone);
12;;SmallObstacle 3(Clone);
13;;Obstacle 16(Clone);
14;;SmallObstacle 1(Clone);
15;;SmallObstacle 4(Clone);
