Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 14(Clone);
2;Tile Right(Clone);SmallObstacle Empty(Clone);
3;Tile Straight(Clone);SmallObstacle 2(Clone);
4;Tile Right(Clone);Obstacle 15(Clone);
5;Tile Straight(Clone);SmallObstacle 2(Clone);
6;Tile Left(Clone);Obstacle 7(Clone);
7;goal;SmallObstacle 3(Clone);
8;;Obstacle 12(Clone);
9;;SmallObstacle Empty(Clone);
10;;Obstacle 1(Clone);
11;;SmallObstacle 3(Clone);
12;;Obstacle 8(Clone);
13;;SmallObstacle 2(Clone);
14;;SmallObstacle 3(Clone);
15;;Obstacle 12(Clone);
