Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 16(Clone);
2;Tile Left(Clone);SmallObstacle Empty(Clone);
3;Tile Straight(Clone);Obstacle 1(Clone);
4;Tile Right(Clone);SmallObstacle 3(Clone);
5;Tile Left(Clone);SmallObstacle 2(Clone);
6;Tile Straight(Clone);Obstacle 12(Clone);
7;goal;SmallObstacle 2(Clone);
8;;Obstacle 16(Clone);
9;;SmallObstacle Empty(Clone);
10;;Obstacle 7(Clone);
11;;SmallObstacle Empty(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 16(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 16(Clone);
