Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 16(Clone);
2;Tile Straight(Clone);Obstacle 14(Clone);
3;Tile Left(Clone);SmallObstacle 3(Clone);
4;Tile Right(Clone);SmallObstacle 3(Clone);
5;Tile Right(Clone);Obstacle 8(Clone);
6;Tile Straight(Clone);SmallObstacle Empty(Clone);
7;goal;Obstacle 8(Clone);
8;;SmallObstacle Empty(Clone);
9;;SmallObstacle 4(Clone);
10;;Obstacle 2(Clone);
11;;SmallObstacle Empty(Clone);
12;;Obstacle 16(Clone);
13;;SmallObstacle 3(Clone);
14;;Obstacle 13(Clone);
15;;SmallObstacle 4(Clone);
