Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 15(Clone);
2;Tile Left(Clone);Obstacle 11(Clone);
3;Tile Straight(Clone);SmallObstacle 4(Clone);
4;Tile Straight(Clone);SmallObstacle 4(Clone);
5;Tile Right(Clone);Obstacle 16(Clone);
6;Tile Right(Clone);SmallObstacle 3(Clone);
7;goal;SmallObstacle Empty(Clone);
8;;Obstacle 14(Clone);
9;;SmallObstacle Empty(Clone);
10;;Obstacle 2(Clone);
11;;SmallObstacle Empty(Clone);
12;;Obstacle 11(Clone);
13;;SmallObstacle 3(Clone);
14;;Obstacle 16(Clone);
15;;SmallObstacle Empty(Clone);
