Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 16(Clone);
2;Tile Right(Clone);SmallObstacle 3(Clone);
3;Tile Right(Clone);SmallObstacle Empty(Clone);
4;Tile Straight(Clone);Obstacle 15(Clone);
5;Tile Straight(Clone);SmallObstacle 1(Clone);
6;Tile Left(Clone);Obstacle 6(Clone);
7;goal;SmallObstacle 4(Clone);
8;;Obstacle 6(Clone);
9;;SmallObstacle Empty(Clone);
10;;Obstacle 9(Clone);
11;;SmallObstacle 1(Clone);
12;;Obstacle 7(Clone);
13;;SmallObstacle 4(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 16(Clone);
