Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 7(Clone);
2;Tile Left(Clone);SmallObstacle Empty(Clone);
3;Tile Right(Clone);Obstacle 11(Clone);
4;Tile Right(Clone);SmallObstacle 3(Clone);
5;Tile Straight(Clone);SmallObstacle Empty(Clone);
6;Tile Left(Clone);Obstacle 15(Clone);
7;goal;SmallObstacle Empty(Clone);
8;;Obstacle 3(Clone);
9;;SmallObstacle 4(Clone);
10;;Obstacle 9(Clone);
11;;SmallObstacle 4(Clone);
12;;Obstacle 4(Clone);
13;;SmallObstacle 3(Clone);
14;;SmallObstacle 2(Clone);
15;;Obstacle 7(Clone);
